source_id,target_id,relation_type,ps_season,award_year
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:864,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:865,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:952,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:953,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:954,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:955,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:956,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:953,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:954,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:955,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:956,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:954,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:955,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:956,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:955,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:956,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:956,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:977,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:978,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:979,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:980,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:978,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:979,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:980,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:979,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:980,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:980,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1004,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1005,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1056,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1057,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1085,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1086,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1086,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1136,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1137,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1138,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1137,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1138,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1144,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1145,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1146,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1147,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1148,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1145,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1146,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1147,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1148,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1146,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1147,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1148,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1148,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1149,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1150,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1151,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1152,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1150,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1151,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1152,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1212,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1213,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1214,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1234,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1235,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1236,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1237,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1238,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1236,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1237,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1238,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1315,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1316,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1317,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1318,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1319,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1318,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1319,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1324,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1325,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1705,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1706,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1776,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1777,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1778,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1779,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1830,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1831,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1832,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1833,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1831,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1832,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1833,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1832,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1833,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1885,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1939,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1940,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:1940,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2189,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2190,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2191,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2192,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2190,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2191,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2192,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2335,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2336,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2347,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2371,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3290,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:704,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:705,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:706,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:707,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:705,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2022,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:706,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2023,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:707,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2024,2022
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:706,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:707,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:707,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2024,2024
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:709,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:710,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:711,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:712,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:713,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2020,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:714,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2021,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:715,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2022,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:716,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2023,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:717,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2024,2020
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:714,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:715,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:716,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2023,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:717,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2024,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:716,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2023,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:717,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2024,2023
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:719,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2021,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:720,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2022,2021
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:721,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3291,WON_PREVIOUSLY,2023,2021
